,INF_ALL,TG,HU,RR,FG
2014-10-26,3.0,191.39682539682542,55.55555555555556,0.3492063492063492,24.142857142857142
2014-11-02,3.0,176.03174603174602,68.69841269841271,3.365079365079365,19.984126984126984
2014-11-09,3.0,118.84126984126985,70.87301587301587,50.57142857142858,38.87301587301587
2014-11-16,2.0,117.3809523809524,74.95238095238095,40.666666666666664,38.333333333333336
2014-11-23,16.0,132.11111111111111,74.38095238095238,7.9523809523809526,29.825396825396826
2014-11-30,22.0,125.31746031746032,84.04761904761905,86.31746031746032,29.730158730158728
2014-12-07,17.0,84.9047619047619,71.4920634920635,22.650793650793652,34.74603174603175
2014-12-14,53.0,82.65079365079366,73.79365079365078,39.349206349206355,33.07936507936508
2014-12-21,35.0,96.01587301587301,75.12698412698413,7.444444444444445,32.0
2016-01-03,23.0,105.39682539682539,75.73015873015873,25.269841269841272,36.96825396825397
2016-01-10,67.0,113.93650793650795,73.04761904761905,45.349206349206355,51.42857142857143
2016-01-17,144.0,80.88888888888889,67.25396825396825,15.50793650793651,35.82539682539683
2016-01-24,225.0,98.4126984126984,76.28571428571428,6.888888888888889,23.952380952380953
2016-01-31,280.0,103.76507936507937,78.83492063492064,13.650793650793652,24.71428571428571
2016-02-07,296.0,97.06349206349206,67.1904761904762,12.476190476190476,33.31746031746032
2016-02-14,272.0,122.76190476190476,74.36507936507937,75.82539682539682,55.25396825396825
2016-02-21,287.0,69.38095238095238,61.60317460317461,9.349206349206348,34.98412698412699
2016-02-28,220.0,94.33333333333333,67.98412698412699,47.04761904761905,44.03174603174603
2016-03-06,234.0,96.30158730158729,60.238095238095234,22.47619047619047,49.92063492063492
2016-03-13,249.0,80.34920634920634,61.77777777777778,14.46031746031746,43.76190476190476
2016-03-20,105.0,93.11111111111111,71.58730158730158,26.095238095238095,25.634920634920636
2016-03-27,75.0,116.12698412698413,62.96825396825396,11.396825396825397,36.63492063492063
2016-04-03,63.0,118.96825396825398,61.3015873015873,15.126984126984127,44.111111111111114
2016-04-10,56.0,114.49206349206348,65.11111111111111,31.9047619047619,42.25396825396825
2016-04-17,33.0,136.57142857142856,66.79365079365078,29.269841269841272,41.06349206349206
2016-04-24,17.0,137.42857142857144,69.15873015873017,27.42857142857143,31.698412698412696
2016-05-01,11.0,133.25396825396825,59.65079365079365,6.904761904761905,33.666666666666664
2016-05-08,8.0,153.23809523809524,62.31746031746032,45.52380952380952,37.80952380952381
2016-05-15,4.0,142.04761904761904,71.8095238095238,44.96825396825397,38.507936507936506
2016-05-22,0.0,177.85714285714286,59.3015873015873,9.269841269841272,34.92063492063492
2016-05-29,0.0,179.11111111111111,60.460317460317455,8.190476190476192,34.55555555555556
2016-06-05,0.0,189.12698412698413,55.44444444444444,3.8253968253968256,32.285714285714285
2016-06-12,0.0,223.39682539682542,56.333333333333336,0.6031746031746031,31.23809523809524
2016-06-19,0.0,193.42857142857144,54.82539682539683,12.07936507936508,45.111111111111114
2016-10-02,0.0,200.15873015873018,61.04761904761905,5.126984126984127,26.61904761904762
2016-10-09,4.0,193.1904761904762,58.57142857142857,0.25396825396825395,22.095238095238095
2016-10-16,5.0,157.015873015873,66.96825396825396,41.888888888888886,28.0
2016-10-23,4.0,163.03174603174602,77.47883597883599,42.87301587301587,22.253968253968253
2016-10-30,5.0,174.63492063492063,74.52380952380952,4.936507936507937,19.603174603174605
2016-11-06,15.0,143.41269841269843,72.33333333333333,40.77777777777778,24.158730158730158
2016-11-13,24.0,106.68253968253968,67.98412698412699,20.57142857142857,32.698412698412696
2016-11-20,41.0,110.8095238095238,70.01587301587301,18.04761904761905,26.174603174603178
2016-11-27,47.0,88.65079365079366,84.17460317460318,122.82539682539681,28.111111111111107
2016-12-04,31.0,99.63492063492063,84.01587301587301,40.61904761904762,30.698412698412696
2016-12-11,107.0,108.74603174603175,81.31746031746032,2.7301587301587302,24.857142857142858
2016-12-18,167.0,84.84126984126985,83.71428571428572,46.73015873015873,26.936507936507937
2016-12-25,163.0,85.3015873015873,77.46031746031746,4.571428571428572,22.873015873015873
2017-01-01,175.0,72.47619047619048,72.46031746031746,0.0,19.158730158730158
2017-01-08,314.0,70.23809523809524,69.61904761904762,1.3968253968253967,22.412698412698415
2017-01-15,323.0,78.95238095238095,68.30158730158729,19.031746031746035,40.41269841269841
2017-01-22,294.0,47.111111111111114,65.53968253968254,36.76190476190476,37.650793650793645
2017-01-29,171.0,70.39682539682539,67.84126984126983,28.11111111111111,33.14285714285714
2017-02-05,117.0,105.44444444444444,75.57142857142857,23.46031746031746,44.39682539682539
2017-02-12,64.0,88.06349206349206,69.95238095238095,59.46031746031747,41.9047619047619
2017-02-19,27.0,101.3968253968254,73.63492063492063,12.031746031746032,26.73015873015873
2017-02-26,16.0,108.23809523809524,65.4920634920635,7.476190476190477,25.22222222222222
2017-03-05,8.0,104.77777777777777,70.55555555555556,22.904761904761905,37.68253968253968
2017-03-12,4.0,147.8095238095238,60.63492063492064,16.984126984126984,36.539682539682545
2017-03-19,3.0,125.73015873015873,57.74603174603174,8.253968253968255,35.61904761904762
2017-03-26,1.0,95.44444444444444,67.38095238095238,28.476190476190474,33.650793650793645
2017-04-02,1.0,130.7301587301587,61.93650793650794,9.80952380952381,34.333333333333336
2017-04-09,0.0,139.23809523809524,52.34920634920635,1.1746031746031746,32.04761904761905
2017-04-16,2.0,168.76190476190476,52.31746031746032,0.0,28.07936507936508
2017-04-23,2.0,154.58730158730157,48.317460317460316,1.7301587301587302,35.44444444444444
2017-04-30,0.0,129.2698412698413,62.20634920634921,30.142857142857142,37.25396825396825
2017-05-07,1.0,158.79365079365078,55.23809523809524,7.317460317460318,30.523809523809526
2017-05-14,0.0,174.15873015873018,59.285714285714285,24.57142857142857,35.650793650793645
2017-05-21,0.0,183.93650793650792,52.80952380952381,15.92063492063492,29.77777777777778
2017-05-28,0.0,222.1904761904762,51.34920634920635,2.4444444444444446,30.507936507936506
2017-06-04,1.0,205.0793650793651,62.31746031746032,24.365079365079364,30.11111111111111
2017-06-11,0.0,222.25396825396825,51.15873015873016,3.5555555555555554,28.603174603174605
2017-06-18,0.0,263.3174603174603,47.84126984126984,3.2539682539682544,27.3015873015873
2017-06-25,0.0,258.60317460317464,50.57142857142858,18.04761904761905,29.730158730158728
2017-07-02,0.0,204.6031746031746,51.26984126984127,11.873015873015873,44.15873015873016
2017-07-09,0.0,230.14285714285714,58.8095238095238,31.444444444444443,31.333333333333332
2017-07-16,0.0,254.3174603174603,52.85714285714286,0.46031746031746035,28.666666666666668
2017-07-23,0.0,243.74603174603175,51.285714285714285,5.206349206349206,33.2063492063492
2017-07-30,0.0,246.69841269841268,52.23809523809524,1.8412698412698414,31.06613756613757
2017-08-06,0.0,255.85714285714286,51.15873015873016,2.8730158730158735,29.634920634920636
2017-08-13,0.0,221.55555555555554,47.111111111111114,7.015873015873016,34.095238095238095
2017-08-20,0.0,253.14285714285714,52.68253968253968,0.5079365079365079,27.095238095238095
2017-08-27,0.0,252.17460317460316,54.9047619047619,14.063492063492063,28.285714285714285
2017-09-03,0.0,213.88888888888889,61.55555555555556,41.317460317460316,27.11111111111111
2017-09-10,0.0,215.93650793650792,54.17460317460317,11.587301587301587,32.301587301587304
2017-09-17,0.0,193.79365079365078,53.85714285714286,8.142857142857144,30.03174603174603
2017-09-24,0.0,195.9047619047619,57.42857142857143,2.015873015873016,25.063492063492063
2017-10-01,0.0,203.41269841269843,61.47619047619048,5.444444444444445,22.61904761904762
2017-10-08,1.0,204.84126984126985,59.03174603174604,2.142857142857143,23.730158730158728
2017-10-15,1.0,198.96825396825398,55.87301587301587,0.015873015873015872,23.11111111111111
