,NumValue,TG,HU,RR,FG
2012-09-01,51.0,207.26666666666668,58.72592592592592,19.92222222222222,30.607407407407404
2012-10-01,38.0,159.67025089605735,68.9605734767025,34.48745519713262,26.702508960573475
2012-11-01,30.0,111.31851851851852,75.62222222222222,40.01481481481481,32.55555555555556
2012-12-01,30.0,90.08602150537634,72.06810035842294,11.60573476702509,31.827956989247312
2013-01-01,25.0,87.30107526881721,69.3942652329749,30.046594982078854,38.46594982078853
2013-02-01,22.0,77.61111111111111,67.73412698412699,32.492063492063494,40.15873015873016
2013-03-01,10.0,106.67025089605734,69.45878136200717,40.29390681003584,39.92114695340502
2013-04-01,29.0,128.02962962962962,63.07037037037037,20.840740740740742,36.25555555555556
2013-05-01,26.0,146.87813620071685,60.72043010752688,21.114695340501793,36.225806451612904
2013-06-01,38.0,195.41111111111113,57.14814814814815,13.962962962962964,33.422222222222224
2013-07-01,68.0,246.67383512544802,52.982078853046595,5.132616487455198,28.358422939068102
2013-08-01,76.0,241.1827956989247,54.182795698924735,5.645161290322581,29.08602150537634
2013-09-01,90.0,214.84444444444443,59.94074074074074,10.329629629629629,26.844444444444445
2013-10-01,52.0,176.88530465949822,67.26439665471923,17.68458781362007,27.978494623655916
2013-11-01,46.0,104.6222222222222,67.02592592592593,25.996296296296293,38.91481481481482
2013-12-01,36.0,78.68817204301075,69.78136200716845,15.562724014336917,29.19713261648745
2014-01-01,48.0,94.06093189964157,74.25806451612904,33.75268817204301,37.645161290322584
2014-02-01,34.0,89.46825396825396,70.21428571428572,24.015873015873016,44.226190476190474
2014-03-01,33.0,113.86021505376344,63.64874551971325,21.21146953405018,37.66308243727599
2014-04-01,40.0,154.8962962962963,64.92962962962963,17.503703703703703,32.55555555555556
2014-05-01,54.0,170.09677419354838,56.573476702508955,11.401433691756273,36.2258064516129
2014-06-01,56.0,210.78148148148148,54.38148148148148,6.4185185185185185,33.459259259259255
2014-07-01,87.0,229.47311827956986,54.85304659498208,9.544802867383513,33.31899641577061
2014-08-01,91.0,235.76344086021507,57.415770609319,6.992831541218638,28.713261648745522
2014-09-01,85.0,217.56296296296296,65.54814814814814,18.25925925925926,26.07037037037037
2014-10-01,61.0,186.7885304659498,67.0358422939068,18.95340501792115,26.08243727598566
2014-11-01,56.0,126.21481481481482,75.96666666666667,44.07037037037037,33.16296296296296
